FE,SIO2,AL2O3,P
61.79,1.95,1.03,0.05
59.66,3.78,1.24,0.05
61.12,2.5,1.1,0.06
60.05,3.06,1.22,0.06
60.52,2.99,1.13,0.05
58.27,5.82,1.23,0.04
59.71,5.33,0.93,0.04
60.67,2.46,1.46,0.04
61.73,2.22,0.93,0.03
60.83,2.16,1.17,0.03
60.86,3.29,1.39,0.03
60.39,3.93,1.23,0.03
60.85,2.9,1.31,0.06
60.57,2.87,1.27,0.06
59.49,3.6,1.4,0.06
58.56,3.2,1.9,0.07
60.77,2,1.29,0.05
60.74,2.54,1.25,0.06
61.64,1.89,0.88,0.05
60.56,2.35,1.29,0.05
58.92,2.89,1.67,0.06
62.7,1.09,0.54,0.04
62.18,1.53,0.75,0.04
61.17,2.15,1.05,0.05
62.69,1.66,0.92,0.05
62.46,2.04,1.21,0.06
61.95,2.38,1.09,0.06
62.58,2.02,0.88,0.05
62.07,2.28,1.22,0.05
61.76,2.31,1.18,0.05
61.89,1.81,0.84,0.04
59.27,3.07,1.11,0.03
59.88,2.78,1.64,0.06
59.87,2.83,1.59,0.06
59.85,2.54,1.56,0.07
59.5,2.78,1.75,0.07
61.29,2.35,1.3,0.06
59.33,3.11,1.62,0.07
60.64,2.19,1.31,0.07
61.33,2.04,1.41,0.06
58.92,2.65,1.61,0.07
57.09,4.5,2.72,0.08
62.52,2.11,0.94,0.06
63.94,1.75,0.77,0.05
61.75,1.8,0.87,0.04
59.8,3.36,1.29,0.05
61.84,2.61,1.19,0.05
61.66,2.69,1.06,0.04
60.87,2.92,1.14,0.05
60.49,3.56,1.14,0.06
59.41,5.25,1.09,0.05
58.9,6.65,1.37,0.06
57.93,4.95,2.15,0.06
59.77,5.34,1.05,0.04
62.45,2.2,1.21,0.05
60.32,2.82,1.33,0.05
59.92,2.9,1.81,0.11
59.84,2.26,1.59,0.08
59.64,2.55,1.85,0.09
60.33,2.77,1.75,0.08
60.89,2.23,1.52,0.07
59.47,2.8,1.67,0.07
58.43,3.06,1.59,0.14
59.01,2.88,1.53,0.07
62.18,1.69,0.9,0.05
61.8,1.8,0.8,0.05
61.94,1.87,0.96,0.04
60.65,2.31,1.37,0.04
62.12,1.64,1.14,0.05
61.41,2.15,1.47,0.05
62.8,1.57,1.11,0.05
61.73,2.33,1.04,0.05
61.31,2.74,0.96,0.05
60.04,3.21,1.06,0.05
60.2,2.94,1.1,0.05
60.18,2.7,1.26,0.04
61.08,2.85,0.93,0.03
56.21,4.79,1.61,0.04
58.26,4.26,1.25,0.03
59.02,4.02,0.98,0.03
58.64,4.63,1.64,0.04
61.41,2.04,1.17,0.06
60.43,2.1,1.1,0.05
60.28,2.37,1.47,0.06
60.77,2.04,1.03,0.05
60.5,2.36,1.56,0.06
60.65,2.42,1.73,0.06
60.73,2.11,1.43,0.06
61.04,1.85,1.22,0.06
61.58,1.99,1.29,0.06
60.46,2.39,1.31,0.05
62.5,1.88,1.03,0.06
64.35,1.57,0.84,0.05
61.98,2.25,1.18,0.06
60.1,2.26,1.08,0.05
61.36,2.99,1.5,0.07
61.58,3.2,1.4,0.06
61.45,2.4,1.57,0.09
61.26,2.76,1.57,0.09
60.5,2.27,1.66,0.08
58.39,3.3,2.19,0.08
60.81,2.44,1.41,0.07
61.01,2.23,1.42,0.07
60.99,2.48,1.71,0.06
59.69,2.87,1.79,0.07
58.47,2.75,1.74,0.07
60.52,2.69,1.62,0.09
63.51,1.72,0.93,0.06
61.84,2.06,1.18,0.07
60.85,2.35,1.23,0.09
60.31,2.7,1.52,0.07
62.62,2.04,1.07,0.06
62.4,1.97,0.95,0.05
61.3,4,1.08,0.05
58.36,5.15,1.6,0.05
60.3,2.46,1.68,0.1
60.59,2.26,1.37,0.08
60.97,2.21,1.45,0.07
60.63,2.37,1.29,0.07
59.19,2.79,1.71,0.08
59.78,2.56,1.66,0.06
60.98,2.3,1.36,0.06
60.99,2.49,1.47,0.06
59.03,3.33,1.84,0.07
61.95,2.19,1.17,0.07
63.37,1.59,0.91,0.05
61.48,2.44,1.27,0.06
61.01,2.86,1.53,0.06
61.6,2.73,1.26,0.05
61.25,3.01,1.64,0.08
61.46,2.33,1.35,0.09
60.4,2.44,1.45,0.08
60.57,3.11,1.47,0.06
60.33,2.49,1.46,0.07
61,2.09,1.34,0.06
59.3,2.75,1.66,0.07
58.43,3.24,1.9,0.13
60.16,2.63,1.28,0.13
61.43,2.1,0.93,0.11
61.16,2.15,0.84,0.12
61.02,2.37,1.07,0.09
60.98,2.49,1.18,0.11
62.06,1.81,1.06,0.05
61.25,2.25,1.26,0.06
62.31,2.29,0.99,0.05
59.92,4.56,0.79,0.04
60.59,2.01,1.57,0.11
60.86,2.29,1.48,0.1
60.44,2.5,1.73,0.08
59.69,2.76,1.3,0.08
60.88,1.97,1.16,0.07
59.6,2.91,1.74,0.08
60.36,2.45,1.7,0.08
58.88,2.76,1.7,0.06
58.98,2.74,1.74,0.07
61.83,1.99,1.04,0.05
62,1.84,1,0.06
62.07,1.96,1.13,0.05
60.39,2.52,1.39,0.05
61.56,2.26,0.87,0.04
61.46,2.07,1.11,0.04
61.03,2.25,1.33,0.06
61.73,2.64,1.05,0.05
59.45,4.79,1.36,0.05
60.65,3.98,1.16,0.05
59.7,4.5,1.15,0.05
58.92,5.47,1.34,0.04
60.49,3.97,1.03,0.03
59.82,4.23,1.19,0.03
59.7,3.84,1.5,0.03
60.1,4.4,1.13,0.03
60.21,3.04,0.92,0.03
60.27,4.64,1.38,0.03
61.13,4.73,1.42,0.03
60.72,2.34,1.3,0.06
60.16,2.4,1.27,0.06
59.99,2.52,1.42,0.06
60.47,2.44,1.51,0.07
59.1,3.03,1.77,0.08
60.81,2.01,1.28,0.06
60.32,2.57,1.28,0.06
60.76,2.52,1.53,0.06
59.86,2.71,1.62,0.07
57.19,4.34,2.83,0.07
58.3,3.58,1.75,0.07
62.29,1.39,0.69,0.04
61.76,2.27,1.18,0.06
61.56,2.62,1.04,0.05
60.09,2.88,1.32,0.05
58.69,3.62,2.63,0.09
61.36,2.14,1.44,0.07
61.2,2.1,1.26,0.07
61.78,1.8,0.96,0.06
59.04,2.54,1.78,0.08
59.98,2.33,1.62,0.07
59.68,2.66,1.69,0.07
60.68,2.24,1.34,0.06
59.44,3,1.73,0.06
58.69,2.77,2.09,0.07
61.72,1.99,1.22,0.06
62.2,2.1,1.2,0.05
62.35,1.96,1.11,0.05
61.4,2.25,1.18,0.05
61.82,2.4,1.33,0.06
61.62,2.47,1.45,0.06
61.4,2.61,1.01,0.05
58.47,3.86,2.38,0.08
60.58,2.41,1.4,0.06
59.97,2.43,1.54,0.06
59.72,2.55,1.24,0.06
61,2.15,1.12,0.05
58.97,2.77,1.85,0.06
60.58,2.12,1.64,0.05
61,1.84,1.34,0.05
62.02,1.85,1.17,0.05
60.74,2.4,1.69,0.07
59.63,2.23,1.39,0.06
59.93,2.55,1.53,0.06
63.93,1.69,0.92,0.05
61.82,1.96,1.23,0.06
60.14,2.72,1.43,0.05
60.06,2.2,1.2,0.06
61.74,2.75,1.34,0.06
60.78,3.36,1.47,0.06
59.31,4.14,1.53,0.05
60.74,2.11,1.37,0.08
61.11,2.48,1.55,0.08
60.57,2.36,1.47,0.1
59.24,3.06,1.72,0.1
60.45,2.3,1.49,0.06
61.4,2.2,1.29,0.06
61.36,2.16,1.49,0.07
59.66,2.75,1.87,0.07
59.03,3.02,1.73,0.08
61.58,2.15,1.14,0.07
62.68,1.62,0.8,0.06
62.4,1.85,0.85,0.06
60.85,2.56,1.08,0.09
61.71,2.12,1.23,0.06
62.61,1.96,1.19,0.05
62.37,1.88,0.89,0.04
61.03,2.9,1.75,0.09
60.83,2.27,1.28,0.09
60.72,2.04,1.2,0.08
57.65,3.48,2.14,0.07
60.6,2.29,1.35,0.07
60.24,2.41,1.59,0.08
60.54,2.19,1.42,0.07
60.85,1.98,1.28,0.06
59.29,3.32,1.81,0.07
59.42,2.26,1.44,0.05
62.3,1.93,1.09,0.05
63.43,1.63,0.94,0.05
62.11,1.86,1.01,0.04
60.42,3.16,0.96,0.04
63.3,1.66,0.9,0.04
60.2,2.77,1.74,0.05
61.34,2.77,0.98,0.05
59.28,5.24,1.46,0.07
60.42,2.68,1.4,0.06
60.88,2.28,1.25,0.06
59.39,3.07,1.7,0.07
60.31,2.23,1.48,0.07
60.22,2.43,1.44,0.07
61.65,1.83,1.06,0.06
60.21,2.44,1.51,0.07
59.91,2.79,1.4,0.07
63.74,1.7,0.79,0.05
62.94,2,0.91,0.06
61.46,2.32,0.99,0.05
61.13,2.32,1.07,0.05
58.24,2.59,1.22,0.06
59.24,3.13,1.48,0.05
60.73,3.24,1.49,0.07
60.72,3.46,1.71,0.06
62.58,1.96,1.19,0.06
59.68,2.89,1.92,0.08
61.21,2.25,1.26,0.07
62.08,1.65,1.02,0.05
61.5,2.16,1.37,0.06
60.61,1.92,1.32,0.06
62.22,1.45,0.74,0.04
62.24,1.67,0.96,0.05
62.94,1.56,0.83,0.04
61.82,3.19,0.87,0.04
61.92,1.79,0.79,0.04
62.36,1.65,0.98,0.04
62.25,1.59,0.9,0.03
57.56,7.68,0.79,0.04
61.59,2.23,1.12,0.04
59.98,5.07,1.23,0.03
60.75,3.52,1.16,0.03
60.3,3.81,1.29,0.03
60.77,2.9,1.17,0.03
60.97,3.57,1.46,0.03
61.33,2.26,1.17,0.1
62.62,2.89,1.36,0.09
61.32,2.36,1.37,0.09
60.64,2.37,1.33,0.08
61.3,2.1,1.3,0.08
60.43,2.36,1.53,0.07
61.38,2.05,1.27,0.06
59.74,2.55,1.55,0.07
56.21,3.97,2.66,0.11
59.18,2.96,1.56,0.1
60.01,2.42,1.28,0.1
62.38,1.87,0.87,0.05
62.07,2.02,0.99,0.06
62.04,1.96,0.91,0.06
59.05,3.4,1.49,0.1
62.23,1.8,1.06,0.06
60.04,3.13,1.17,0.05
61.39,3.19,0.83,0.05
61.83,1.92,1,0.05
60.55,2.44,1.44,0.06
60.53,2.44,1.42,0.06
60.67,2.22,1.45,0.06
59.62,2.52,1.59,0.07
60.52,2.93,1.25,0.05
60.14,2.44,1.42,0.06
60.22,2.56,1.55,0.06
60.69,2.77,1.5,0.06
59.3,2.82,1.55,0.06
61.34,2.5,1.32,0.06
62.37,1.92,0.95,0.05
60.62,2.35,0.99,0.04
58.36,3.61,1.28,0.04
58.26,2.93,1.1,0.05
60.93,2.36,1.41,0.09
60.4,2.93,1.76,0.09
58.63,3.36,2.09,0.08
60.46,2.19,1.39,0.08
60.21,2.36,1.7,0.08
60.57,2.66,1.58,0.07
60.28,2.78,1.85,0.07
57.54,3.79,2.69,0.07
59.94,2.73,1.42,0.07
62.27,1.82,1.13,0.05
62.48,1.91,1.01,0.05
61.78,1.87,1.11,0.04
59.53,3.02,1.43,0.04
62.71,1.74,0.85,0.04
61.52,2.61,1.19,0.05
61.14,2.87,1.04,0.05
60.88,2.2,1.34,0.07
61.71,2.17,1.23,0.06
60.85,2.33,1.37,0.07
58.82,3.24,1.76,0.06
60.74,2.05,1.32,0.05
59.57,2.48,1.82,0.06
60.93,2.4,1.46,0.06
61.04,2.44,1.61,0.06
59.42,3.27,1.84,0.06
59.26,3.19,1.68,0.07
62.44,2.1,1.14,0.06
62.97,1.93,1.03,0.05
61.12,2.15,1.05,0.04
61.2,2.75,1.48,0.06
62.7,2.02,1.2,0.05
62.45,2.26,1.28,0.05
60.24,4.21,1.44,0.05
62.43,2.13,0.98,0.06
62.43,2.13,0.98,0.06
60.19,2.86,1.22,0.05
60.19,2.86,1.22,0.05
61.53,2.68,1.12,0.05
61.53,2.68,1.12,0.05
60.59,4.09,0.99,0.04
60.59,4.09,0.99,0.04
60.49,4.52,1.08,0.04
60.49,4.52,1.08,0.04
60.26,4.29,1.15,0.03
60.26,4.29,1.15,0.03
60.22,4.43,0.83,0.03
60.22,4.43,0.83,0.03
60.44,4.2,1.31,0.02
60.44,4.2,1.31,0.02
61,2.26,1.37,0.1
60.89,2.7,1.59,0.09
60.98,2.73,1.38,0.11
60.13,3.03,1.47,0.08
59.87,2.82,1.65,0.07
60.13,2.38,1.67,0.07
61.44,1.96,1.13,0.05
60.89,2.24,1.38,0.06
58.11,3.07,2.45,0.07
60.11,2.6,1.7,0.06
63.45,1.61,0.89,0.05
61.86,2.08,1.09,0.04
60.77,2.65,1.24,0.04
61.98,2.43,1.47,0.05
60.88,3.84,1.42,0.06
61.46,2.44,1.18,0.05
60.3,3.37,0.98,0.05
58.77,3.8,2.33,0.1
61.62,2.61,1.6,0.08
60.84,2.34,1.72,0.07
59.28,3.13,1.91,0.09
60.11,2.51,1.66,0.07
58.91,2.91,1.97,0.07
61.09,2.41,1.58,0.06
60.35,2.63,1.66,0.07
58.94,2.8,1.89,0.06
60.31,2.45,1.53,0.07
63.54,1.58,0.93,0.05
61.99,2,1.16,0.05
63.14,1.76,0.9,0.04
63.02,1.87,1.07,0.05
62.84,2.14,0.95,0.04
60.29,4.4,0.98,0.05
58.95,3.15,1.99,0.07
61.27,2.08,1.29,0.06
60.81,2.25,1.34,0.06
61.63,2.04,1.16,0.06
60.89,2.18,1.36,0.06
61.42,1.92,1.38,0.06
60.34,3.02,1.23,0.05
61.58,2.06,1.18,0.06
60.79,2.34,1.37,0.06
58.76,3.41,1.9,0.06
61.17,2.5,1.14,0.05
63.38,1.84,0.81,0.05
62.01,1.89,0.94,0.05
58.76,2.69,1.15,0.05
60.91,2.64,1.42,0.06
60.6,2.65,1.15,0.06
60.15,2.97,1.27,0.05
58.88,2.9,2.3,0.09
61.07,2.14,1.48,0.09
61.34,2.4,1.49,0.07
60.64,2.29,1.27,0.07
59.68,2.32,1.23,0.07
59.97,2.17,1.05,0.08
59.76,2.35,1.19,0.06
59.53,2.5,1.46,0.06
60.46,2.45,1.6,0.06
60.36,3.09,1.92,0.06
57.92,3.73,2.19,0.07
60.75,2.5,1.33,0.07
62.69,1.87,1.02,0.06
61.18,2.33,1.31,0.07
63.23,1.66,0.91,0.04
62.3,1.85,1.15,0.05
62.25,2.47,1.46,0.05
58.67,4.12,2.36,0.04
58.49,4.54,2.19,0.05
60.43,4.89,3.45,0.05
58.96,4.17,3.21,0.06
59.87,2.6,1.85,0.08
60.28,2.22,1.82,0.07
61.81,1.99,1.55,0.06
60.21,2.43,1.57,0.08
58.23,3.26,2.05,0.07
61.69,1.96,1.07,0.06
62.51,1.5,0.71,0.04
62.89,1.61,0.88,0.04
59.98,2.74,1.44,0.06
61.99,1.89,0.74,0.03
60.81,2.66,1.21,0.04
59.42,4.14,1.2,0.04
59.38,3.48,1.51,0.05
60.07,3.65,1.58,0.04
60.34,2.87,1.47,0.07
61.41,2.24,1.4,0.06
60.1,2.47,1.42,0.07
60.1,2.52,1.46,0.07
60.38,2.53,1.67,0.08
61.13,2.21,1.38,0.06
59.55,2.46,1.6,0.08
60.39,2.07,1.31,0.07
60.43,2.44,1.53,0.06
60.47,2.59,1.39,0.08
63.43,1.5,0.77,0.05
61.49,1.84,1.04,0.05
61.26,2.12,1.09,0.05
61.51,1.64,0.9,0.05
61.34,2.37,1.3,0.06
60.93,2.83,1.3,0.06
59.57,3.32,1.12,0.05
60.83,2.2,1.18,0.06
61.59,1.93,1.07,0.05
60.84,2.08,1.18,0.05
60.86,2.08,1.14,0.05
61.24,2.16,1.33,0.06
59.92,2.53,1.69,0.06
61.28,1.74,1.07,0.05
60.95,1.74,1.11,0.05
61.13,2.05,1.27,0.06
60.2,2.93,1.78,0.06
58.98,3.65,1.75,0.06
59.03,3.22,1.47,0.06
62.77,1.83,0.89,0.05
62.66,1.83,0.91,0.05
60.85,2.73,1.34,0.06
61.31,2.06,1.04,0.05
61.49,2.08,0.94,0.05
62.03,2.3,1.2,0.06
59.18,4.05,1.46,0.05
59.78,2.57,2.01,0.09
61.84,2.65,1.56,0.07
59.89,2.61,1.72,0.08
58.18,3.49,1.93,0.08
60.44,2.41,1.6,0.07
60.46,2.19,1.48,0.06
61.43,2.04,1.26,0.06
58.66,3.31,1.87,0.07
57.61,3.5,2.28,0.11
56.88,4.33,1.99,0.12
60.99,2.81,1.39,0.07
63.41,1.85,0.9,0.05
60.52,4.87,1.17,0.04
62.21,2.64,1.2,0.05
60.43,3.05,1.38,0.04
61.49,2.07,1.19,0.07
61.91,2.52,1.68,0.06
62.47,2.12,1.23,0.05
59.28,3.11,2.59,0.13
59.39,2.52,1.53,0.08
60.85,2.49,1.3,0.07
63.81,1.69,0.97,0.04
61.43,2.2,1.24,0.05
60.41,4.11,1.01,0.04
56.59,6.08,1.9,0.05
60.32,2.43,1.57,0.05
62.19,2.11,0.98,0.04
62.05,1.97,1.28,0.06
60.63,4.67,0.78,0.04
61.38,2.22,0.99,0.05
61.12,2.3,0.9,0.05
61.87,2.06,1.21,0.03
60.32,2.26,1.39,0.06
59.68,2.37,1.46,0.08
60.87,2.15,1.38,0.06
60.92,2.25,1.4,0.06
61.38,2.29,1.46,0.05
59.27,2.81,1.7,0.06
59.23,3.46,1.41,0.06
63.39,1.77,0.9,0.06
61.94,1.91,1.05,0.06
61.47,2.32,1.23,0.07
61.78,2.13,1.07,0.05
61.53,2,0.94,0.05
59.53,2.69,1.23,0.05
60.54,3.74,1.44,0.05
59.18,3.31,1.5,0.06
61.05,2.53,1.44,0.09
60.57,2.63,1.73,0.07
59.52,2.69,1.6,0.08
60.31,2.17,1.57,0.07
59.13,2.61,1.86,0.07
60.27,2.48,1.61,0.06
59.18,2.85,1.86,0.06
58.8,3.02,1.66,0.06
63.51,1.61,0.95,0.05
62.24,2.05,1.19,0.05
58.24,6.74,1.18,0.04
58.43,3.35,1.47,0.04
62.87,1.97,0.97,0.05
59.42,4.84,1.22,0.05
58.64,5.35,1.2,0.04
61.92,2.44,1.53,0.09
61.92,2.44,1.53,0.09
61.24,2.35,1.68,0.07
61.24,2.35,1.68,0.07
61.68,1.84,0.84,0.04
61.68,1.84,0.84,0.04
58.66,5.05,1.33,0.04
58.66,5.05,1.33,0.04
61.08,3.04,0.96,0.03
61.08,3.04,0.96,0.03
60.64,3.7,1.14,0.05
60.64,3.7,1.14,0.05
58.4,4.58,1.46,0.05
58.4,4.58,1.46,0.05
60.23,4.02,2.68,0.08
60.63,2.73,1.5,0.09
61.47,2.24,1.59,0.07
56.78,4.5,3.28,0.08
59.5,2.58,1.58,0.09
61.5,1.97,1.24,0.07
62.52,1.97,1.23,0.05
62.35,1.91,1.14,0.05
61.64,1.88,0.95,0.04
62.96,1.76,1.17,0.05
62.21,2.19,1.1,0.05
62.61,3.23,0.77,0.04
60.63,4.04,1.07,0.05
60.19,3.59,0.91,0.05
57.19,8.68,0.87,0.04
61.34,2.83,1.14,0.04
61.25,3.17,1.06,0.04
60.3,3.8,1.49,0.04
60.51,4.83,0.89,0.03
60.18,3.63,1.39,0.04
60.33,3.09,1.3,0.04
60.59,2.69,1.26,0.03
58.61,4.97,1.58,0.07
61.24,2.52,1.33,0.06
60.21,2.37,1.41,0.06
60.45,2.64,1.46,0.07
60.03,2.78,1.84,0.08
60.46,2.46,1.22,0.06
61.04,1.99,1.15,0.06
59.04,3.03,1.59,0.1
55.79,8.5,1.53,0.07
58.13,8.02,1.06,0.05
59.55,7.37,0.67,0.05
56.9,7.76,1.14,0.05
59.98,5.4,0.89,0.04
60.97,4.68,1.19,0.04
59.11,7.6,1.29,0.03
60.6,2.61,1.45,0.06
61.9,2.41,1.49,0.03
61.79,2.04,1.21,0.03
59.51,2.55,1.64,0.06
60.97,2.13,1.47,0.06
60.73,2.29,1.63,0.06
62.38,2.03,1.09,0.05
59.63,3.47,1.81,0.07
58.25,3.27,1.87,0.07
60.2,2.87,1.45,0.07
62.62,1.8,0.97,0.05
61.24,2.32,1.22,0.07
61.09,2.34,1.2,0.06
60.43,3.27,1.55,0.05
58.23,4.75,1.45,0.05
61.36,2.7,1.19,0.05
59.36,3.39,1.56,0.05
58.11,3.47,1.41,0.05
61.07,2.13,1.6,0.06
59.88,2.65,1.89,0.07
59.99,2.6,1.94,0.08
60.74,2.32,1.73,0.08
60.29,2.34,1.71,0.07
60.49,2.41,1.75,0.06
59.61,2.55,1.84,0.09
59.21,2.38,1.81,0.08
60.59,2.18,1.35,0.08
61.11,2.35,1.34,0.07
61.39,2.12,1.34,0.06
58.49,3.11,1.69,0.05
58.08,4.04,2.29,0.06
60.95,2.61,1.37,0.05
60.51,2.56,1.32,0.07
60.65,2.49,1.2,0.06
59.75,2.65,1.5,0.1
61.14,2.3,1.42,0.03
60.59,2.14,1.45,0.07
59.79,2.51,1.74,0.07
60.57,2.32,1.51,0.06
61.8,2.13,1.4,0.06
60.16,3.09,1.62,0.06
58.25,2.89,1.77,0.06
60.53,2.36,1.36,0.07
62.1,1.86,1,0.05
60.28,2.77,1.33,0.05
59.89,2.83,1.39,0.05
62.71,1.86,1.2,0.06
60.48,2.93,1.24,0.05
60.01,2.29,1.43,0.08
60.3,2.24,1.28,0.08
60.41,2.56,1.56,0.08
60.17,2.89,1.78,0.08
60.44,2.36,1.35,0.06
60.88,2.57,1.36,0.07
61.43,2.88,1.12,0.05
61.07,2.9,1.34,0.06
61.22,2.57,1.34,0.06
60.73,4.24,1,0.04
58.99,5.96,1.4,0.06
60.73,3.98,1.44,0.05
60.32,2.4,1.36,0.07
59.49,3.01,1.68,0.08
59.91,2.63,1.58,0.08
59.55,2.79,1.61,0.08
60,2.46,1.66,0.07
60.14,2.58,1.73,0.07
61.37,2.02,1.19,0.06
61.05,2.43,1.47,0.06
59.28,2.97,1.9,0.07
59.4,2.63,1.64,0.06
61.32,2.13,1.18,0.06
62.99,1.74,0.88,0.05
60.74,2.38,1.24,0.05
61.61,2.22,1.27,0.06
61.4,2.35,1.45,0.06
59.35,3.49,1.42,0.05
58.82,4.56,1.59,0.06
61.03,3.75,1.26,0.06
61.74,2.54,1.18,0.04
58.54,3.32,2.79,0.06
61.52,1.76,1.07,0.05
60.94,2.05,1.05,0.05
60.58,2.56,1.27,0.08
61.16,2.03,1.77,0.06
60.28,2.27,1.89,0.08
61.24,2.05,1.64,0.08
60.92,2.07,1.52,0.08
58.04,3.12,2.19,0.08
59.23,2.62,1.8,0.08
61.76,1.94,1.32,0.07
62.48,1.82,1.13,0.06
60.99,2.7,1.45,0.05
61.45,2.7,1.44,0.05
62.21,3.39,1.01,0.05
61.39,2.33,1.46,0.07
60.44,2.59,1.49,0.1
59.65,2.73,1.67,0.09
59.96,2.91,1.78,0.07
60.49,2.54,1.71,0.05
61.14,2.1,1.74,0.06
63.39,1.83,1.25,0.06
62.75,1.66,1.15,0.06
61.5,2.25,1.79,0.07
61.53,2.15,1.55,0.05
60.76,3.72,1.41,0.06
61.28,2.63,1.53,0.06
59.82,2.44,1.98,0.06
61.37,2.32,1.16,0.04
61.54,2.09,1.53,0.05
61.92,1.56,1.3,0.04
62.83,1.63,1.29,0.05
60.71,2.25,1.76,0.09
59.71,2.28,1.43,0.07
62.07,1.83,1.17,0.07
63.12,1.53,0.94,0.06
61.42,1.98,1.39,0.07
60.93,1.99,1.28,0.06
62.5,1.83,1.24,0.05
61.72,2.07,1.34,0.06
61.36,2.58,1.24,0.06
59.21,4.1,1.65,0.05
61.98,2.21,1.2,0.05
60.57,2.87,1.43,0.04
60.37,2.83,1.49,0.04
60,3.18,1.66,0.03
61.42,2.22,1.53,0.05
60.45,2.49,1.68,0.04
59.98,2.47,1.42,0.06
60.49,2.51,1.59,0.07
59.35,2.92,1.68,0.09
60.79,2.51,1.56,0.07
60.66,2.66,1.75,0.07
56.86,4.31,2.51,0.08
57.8,3.48,2.65,0.08
61.68,2.24,1.26,0.07
63.18,1.82,0.9,0.06
63.25,1.79,0.9,0.05
60.59,2.34,0.93,0.05
60,2.92,1.43,0.05
62.24,2.32,1.35,0.05
60.56,4.31,1.3,0.05
58.65,5.8,1.35,0.04
60.69,3.46,1.3,0.04
58.08,5.99,1.68,0.04
58.82,2.94,2.17,0.09
60.36,2.46,1.62,0.06
59.38,2.94,1.8,0.06
60.13,2.62,1.54,0.06
59.43,2.92,1.69,0.07
61.89,1.74,1.2,0.05
62.01,1.88,1.41,0.05
62.98,1.83,1.35,0.08
63.28,1.59,1.16,0.06
61.04,2.55,2.12,0.09
62.53,1.69,1.4,0.05
61.28,2.29,1.58,0.07
61.17,2.96,1.56,0.06
61.48,2.14,1.21,0.05
61.2,1.86,1.13,0.04
60.67,2.32,1.49,0.04
60.33,2.42,1.46,0.03
59.21,3.05,1.61,0.02
58.28,3.73,1.54,0.02
58.63,3.26,1.68,0.1
60.38,2.46,1.19,0.08
59.85,2.51,1.24,0.08
60.36,2.56,1.38,0.06
60.15,2.74,1.35,0.06
59.05,2.9,1.44,0.05
60.46,2.37,1.26,0.07
60.47,2.47,1.32,0.11
61.83,1.78,1.17,0.08
58.39,3.55,2.45,0.06
62.62,1.94,1.04,0.04
62.81,1.69,1.39,0.05
61.87,2.81,1.36,0.06
61.62,3.22,1.26,0.05
60.89,4,1.31,0.06
62.7,2.02,0.98,0.05
61.74,2.37,1.14,0.05
60.76,2.85,1.4,0.05
61.76,3.23,1.29,0.04
61.95,2.87,1.4,0.04
62.03,2.61,1.45,0.03
58.98,2.95,1.54,0.03
58.05,3.54,2.17,0.08
60.15,2.52,1.33,0.05
59.93,2.46,1.34,0.04
59.71,2.75,1.67,0.05
59.67,2.99,1.83,0.07
59.85,2.75,1.57,0.07
60.8,2.12,1.31,0.06
60.87,2.23,1.55,0.07
60.34,2.59,1.54,0.1
61.55,1.98,1.21,0.09
61.91,1.82,1.13,0.06
61.2,2.19,1.48,0.07
62.36,1.57,1.29,0.05
62.01,2,1.48,0.06
62.56,1.66,1.02,0.06
61.98,2.01,1.12,0.04
58.44,3.99,1.94,0.06
62.07,1.96,1.46,0.06
61.26,2.38,1.61,0.06
61.05,2.27,1.57,0.06
61.6,2.15,1.43,0.06
62.53,2.11,1.61,0.04
61.34,2.32,1.49,0.08
61.4,1.99,1.43,0.08
61.24,2.82,1.66,0.08
61.93,2.31,1.41,0.07
59.87,2.85,1.8,0.08
62.99,1.75,1.33,0.05
62.43,2.15,1.34,0.05
61.42,2.49,1.57,0.05
61.92,1.88,1.48,0.06
61.33,1.98,1.45,0.04
60.01,2.9,2.01,0.03
59.7,3.35,2.1,0.03
59.85,3.04,1.87,0.03
60.29,3,1.72,0.03
60.45,3.22,1.42,0.02
59.44,3.9,0.99,0.02
60.44,2.35,1.42,0.06
59.2,3.03,1.85,0.05
59.44,2.96,1.93,0.06
59.24,3.27,2.11,0.06
59.27,3.18,2.17,0.07
60.84,2.49,1.77,0.08
61.72,2.15,1.55,0.07
56.88,4.24,2.78,0.09
61.06,2.23,1.43,0.07
60.84,2.68,1.52,0.06
61.03,2.41,1.2,0.05
57.8,4.35,2.08,0.05
60.02,3.59,1.85,0.05
61.01,3.3,1.66,0.06
58.32,6.76,1.88,0.05
61.17,2.72,1.74,0.04
60.65,3.3,1.88,0.03
61.35,2.96,1.86,0.04
58.02,6.02,2.14,0.02
58.84,5.29,1.88,0.02
60.37,4.82,1.48,0.02
60.79,3.69,1.3,0.02
60.27,4.14,2.2,0.03
59.13,2.94,2.16,0.07
59.39,3.22,2.3,0.06
60.46,2.53,1.74,0.06
60.45,2.67,1.4,0.04
59.66,2.94,1.47,0.05
59.71,2.75,1.98,0.07
60.63,2.34,1.72,0.06
60.53,2.58,1.82,0.07
59.72,2.78,1.9,0.07
59.14,3.72,1.9,0.06
63.14,2.09,1.26,0.05
61.56,2.69,1.38,0.05
60.33,2.89,1.66,0.05
58.3,4.07,1.24,0.03
61,3.8,1.24,0.03
